"","name","Sex","Nation","sleeptime","steps","height","weight","IMC","Age"
"1","A_6757","V","PT",11.8476002307928,10685.9365905599,184.379856830188,80.0982105706584,23.5611165188767,25.6179019773931
"2","O_3291","V","SP",2.9424670053786,9174.32080456382,175.115247046839,76.0724642060104,24.8073036278639,37.7307079853096
"3","N_4501","M","IR",5.29892012236406,12916.3153845822,169.097865610515,69.3911377383612,24.2676518882373,28.5411797987094
"4","W_3866","M","SP",5.71153149037572,10952.2344026424,166.480352899356,68.962626208684,24.8821449748956,39.3793353242836
"5","J_8867","V","FR",17.7560140154548,10710.8490530892,172.415595956647,74.1532459862917,24.944630277586,22.6461055694672
"6","F_8309","M","SP",14.0942412192488,10940.8708430204,166.364374666892,68.3817474587353,24.7069724480249,38.2048630895315
"7","K_7479","V","FR",11.8481277444352,11198.7716142013,177.137349564819,76.5881335822013,24.4085062137274,33.5963169918797
"8","G_9243","V","GB",11.6760812838141,10879.060368882,170.416284788437,73.6440652763463,25.3580333145936,37.2640991322144
"9","D_7113","V","PT",4.51857502167499,10906.7612995151,173.040752612674,75.2010228414919,25.114639985813,34.5393355502453
"10","B_6158","M","FR",13.0009790386671,13065.6858045997,161.816486516532,66.502757957053,25.3976843899109,36.6010747004103
"11","M_9769","M","IT",11.3232164888452,13102.8350013601,159.371042194754,65.0973451755363,25.6297548409035,43.3283866632368
"12","H_1320","V","GB",9.05134299908179,10965.1486062978,167.709291130611,71.8368683191631,25.5407205145251,33.5799068200902
"13","S_6982","M","SP",9.70184281337273,10811.6627554951,156.39267325593,62.9466420319904,25.7359237197175,38.0346443349933
"14","Q_8024","M","SP",9.9487368265929,10845.1386473596,159.696484809024,64.8303525005628,25.4207096134001,35.0338744676319
"15","U_928","M","SP",6.18104344677848,10645.3266717573,154.737512862568,62.5627055769363,26.1290907830834,42.2833562269585
"16","P_6978","V","IR",10.4193428289531,10747.2842296915,174.65588924198,75.6237729398151,24.7908759623651,31.2422184102023
"17","T_8585","M","GE",13.4108822253602,13078.1182806736,152.445273986281,61.4904554063981,26.4593870437922,37.0781909202412
"18","V_1073","V","FR",4.2158295883903,10901.1900232501,164.173619937162,70.3712094602526,26.1088814784669,33.0176132355459
"19","C_1820","M","IT",6.91602991711284,12629.6025225032,152.25311619252,60.5430811786783,26.1175322160127,33.8775022462446
"20","I_6016","V","FR",8.04904900370966,11175.0993198093,156.465895093934,65.9392421288613,26.9342305604189,35.3907550231788
"21","L_3580","M","IT",13.5488082727983,13236.4275458263,161.486693175695,65.9755572309444,25.2993628666513,28.2547206189976
"22","R_9670","M","GE",16.7319043945382,13151.2859568471,159.985225235843,65.2056270311208,25.4756528013218,41.3970862607992
"23","E_2781","V","BE",13.8308486286094,10562.0206154218,169.414978587031,72.7739834448562,25.3555209075172,33.8150428471886
"24","A_1920","M","SP",18.0787321941501,10843.4527745448,156.108198822853,63.0990427053751,25.8923425946624,34.7433961245487
"25","O_8949","M","SP",4.49099077444892,10357.1636949873,161.679469763204,66.0404797739561,25.263904282398,36.4988775278863
"26","N_2809","M","PT",5.04865042198705,13062.4960667852,157.426200856527,63.5011000882776,25.6228373300675,31.2973261374968
"27","W_8514","M","SP",5.67494937322557,11017.2561849173,160.852965766136,65.2516361477969,25.2193135004577,32.4292753648681
"28","J_7753","M","FR",8.18614901889361,12910.6585998274,163.931819391083,66.8653519481258,24.8813887670818,31.3084057017135
"29","F_4178","M","IT",10.9665179179694,13179.6735434595,153.405976129868,61.2943414946294,26.045687572616,42.1932293300428
"30","K_4002","V","IT",16.3239727596252,10615.2097604503,172.659525394472,74.2264366465349,24.8987489614622,30.3110965429082
"31","G_6577","V","FR",9.92442493942543,10823.5534220182,183.242995188829,80.11571878502,23.8595896220656,32.9706614718507
"32","D_2563","V","SP",2.42956728810964,8791.71527414788,179.302893892371,77.6255778857015,24.14516893361,34.641287222511
"33","B_1807","V","SP",12.8591561108484,8857.45776810925,161.729931614295,68.7484677572394,26.2834407214799,33.7753338498734
"34","M_669","M","FR",17.0650096955215,12690.0202279808,165.677182555018,68.2374025784508,24.8597688556431,39.1014923366609
"35","H_2647","V","IT",10.2544759270432,10728.6831541156,171.300766918125,74.1921366152435,25.2836205318288,37.2258429150613
"36","S_6629","V","PT",16.6768138006896,10699.3703251107,164.619150750648,69.8582994872976,25.7784793975391,29.8473280467824
"37","Q_1075","M","BE",16.847001041612,12949.8326065011,156.177346840775,63.2693932573857,25.9392603559098,37.1209061394086
"38","U_117","V","GB",5.57165383748463,10529.9230438704,169.902769904591,73.2186128594588,25.3641655117199,35.1560696999852
"39","P_3481","M","IT",12.8730800818988,12711.070338564,163.437843219894,66.8711406883539,25.0341866732301,31.9381511375706
"40","T_6035","M","SP",4.72395890230098,11117.3134612267,175.425063901718,73.2855408992268,23.814145940968,27.0851777094686
"41","V_339","M","BE",7.52365781261321,12808.5019286247,170.535895831816,71.0218056633902,24.4208117488709,35.2921667381577
"42","C_3720","M","GB",8.20990609718053,13029.7284555493,164.613862302,67.3041977149812,24.8375836120171,35.3409277680413
"43","I_2880","V","SP",6.72923118102426,9200.58787188623,173.861443622646,75.3879529364221,24.9399390625605,32.2110756126039
"44","L_6712","V","FR",8.16461385937365,10934.7241699984,162.18021614329,69.0241389704847,26.2425025484799,33.7313529633257
"45","R_8141","V","FR",8.41715084260751,11006.3905359288,160.583137797699,67.8797410724726,26.3232978250172,28.3700878609137
"46","E_7179","V","IT",7.77161087371509,11186.311695722,173.726781929411,75.4875595856286,25.0116207855424,37.2184387899038
"47","A_9590","M","FR",11.4055648024873,12983.7922593405,158.099591562779,63.9751042112553,25.5946683279443,30.6247080545
"48","O_1637","M","SP",12.2973096713687,10691.2001519729,165.298097001368,67.7370902688671,24.7908164289697,34.4480191104455
"49","N_6324","M","SP",7.91141620979917,10659.228658662,160.328480287738,64.958530558331,25.2705584845554,34.7160157756262
"50","W_3231","V","SP",15.327349876097,9109.55100789753,169.32932614084,72.337665234064,25.2290052566038,31.2877247790522
"51","J_3276","M","PT",7.90055399864198,12957.5670471108,147.052779869345,57.9789776317543,26.8116829651277,35.761990754595
"52","F_9361","V","IT",5.47745623717589,11089.2012787028,177.558500889457,77.4003591245003,24.5504827557051,37.8317647047118
